iter	Passed	Remaining
218	38168	48973
219	38339	48796
220	38512	48619
221	38685	48444
222	38856	48265
223	39032	48093
224	39205	47917
225	39384	47749
226	39557	47573
227	39732	47400
228	39907	47226
229	40079	47049
230	40251	46872
231	40423	46696
232	40603	46528
233	40774	46350
234	40943	46170
235	41115	45994
236	41293	45823
237	41469	45650
238	41641	45474
239	41815	45299
240	41993	45129
241	42167	44955
242	42343	44782
243	42519	44610
244	42691	44433
245	42864	44257
246	43035	44081
247	43206	43903
248	43381	43729
249	43552	43552
250	43728	43380
251	43899	43203
252	44072	43026
253	44245	42851
254	44421	42679
255	44597	42506
256	44769	42330
257	44945	42158
258	45122	41986
259	45298	41813
260	45472	41639
261	45645	41464
262	45820	41290
263	45995	41117
264	46170	40943
265	46347	40771
266	46519	40595
267	46694	40422
268	46873	40251
269	47044	40075
270	47216	39898
271	47393	39727
272	47565	39550
273	47737	39374
274	47912	39200
275	48082	39023
276	48262	38853
277	48437	38680
278	48612	38507
279	48787	38333
280	48959	38156
281	49129	37979
282	49306	37807
283	49479	37632
284	49650	37455
285	49821	37279
286	49995	37104
287	50168	36929
288	50343	36755
289	50519	36582
290	50693	36408
291	50869	36235
292	51044	36062
293	51218	35887
294	51392	35713
295	51564	35537
296	51741	35365
297	51910	35187
298	52083	35012
299	52259	34839
300	52432	34664
301	52602	34488
302	52771	34310
303	52947	34137
304	53119	33961
305	53289	33785
306	53463	33610
307	53641	33438
308	53814	33263
309	53984	33087
310	54154	32910
311	54328	32736
312	54500	32561
313	54674	32386
314	54846	32211
315	55016	32034
316	55192	31861
317	55366	31687
318	55539	31513
319	55719	31342
320	55888	31165
321	56060	30989
322	56248	30823
323	56435	30656
324	56606	30480
325	56776	30304
326	56956	30132
327	57128	29957
328	57310	29787
329	57510	29626
330	57681	29450
331	57856	29276
332	58038	29106
333	58237	28944
334	58414	28771
335	58591	28598
336	58761	28421
337	58935	28247
338	59111	28073
339	59287	27899
340	59463	27726
341	59636	27551
342	59808	27375
343	59978	27199
344	60156	27026
345	60352	26862
346	60541	26694
347	60731	26526
348	60918	26357
349	61107	26188
350	61292	26018
351	61482	25850
352	61666	25680
353	61865	25515
354	62058	25347
355	62268	25187
356	62458	25018
357	62630	24842
358	62804	24666
359	62981	24492
360	63166	24321
361	63348	24149
362	63544	23982
363	63737	23813
364	63927	23644
365	64114	23473
366	64292	23299
367	64466	23123
368	64645	22949
369	64815	22773
370	64990	22597
371	65163	22421
372	65339	22247
373	65514	22071
374	65695	21898
375	65870	21723
376	66038	21545
377	66217	21371
378	66391	21196
379	66565	21020
380	66737	20844
381	66912	20669
382	67083	20492
383	67256	20317
384	67432	20142
385	67605	19966
386	67775	19789
387	67963	19618
388	68130	19440
389	68303	19265
390	68476	19089
391	68651	18914
392	68826	18739
393	68999	18563
394	69174	18388
395	69357	18215
396	69531	18039
397	69705	17864
398	69877	17688
399	70047	17511
400	70223	17336
401	70392	17160
402	70566	16984
403	70735	16808
404	70904	16631
405	71081	16457
406	71249	16280
407	71423	16105
408	71595	15929
409	71768	15753
410	71938	15577
411	72114	15403
412	72291	15228
413	72462	15052
414	72640	14878
415	72817	14703
416	72988	14527
417	73159	14351
418	73332	14176
419	73507	14001
420	73682	13826
421	73854	13650
422	74033	13476
423	74210	13301
424	74384	13126
425	74556	12951
426	74729	12775
427	74900	12600
428	75083	12426
429	75253	12250
430	75424	12074
431	75599	11899
432	75770	11724
433	75945	11549
434	76117	11373
435	76291	11198
436	76464	11023
437	76638	10848
438	76806	10672
439	76975	10496
440	77145	10321
441	77317	10145
442	77486	9970
443	77659	9794
444	77829	9619
