iter	Passed	Remaining
0	173	86416
1	353	88096
2	524	86896
3	695	86193
4	866	85826
5	1046	86201
6	1223	86201
7	1396	85855
8	1568	85596
9	1741	85338
10	1919	85323
11	2094	85170
12	2272	85129
13	2444	84872
14	2620	84726
15	2791	84434
16	2969	84382
17	3146	84263
18	3319	84044
19	3494	83857
20	3663	83572
21	3836	83366
22	4013	83235
23	4190	83102
24	4361	82870
25	4537	82718
26	4712	82560
27	4888	82403
28	5060	82194
29	5236	82037
30	5411	81867
31	5583	81655
32	5756	81457
33	5939	81404
34	6110	81183
35	6290	81078
36	6462	80864
37	6633	80643
38	6804	80438
39	6980	80273
40	7149	80040
41	7329	79929
42	7496	79671
43	7664	79436
44	7837	79247
45	8012	79075
46	8189	78928
47	8359	78716
48	8534	78550
49	8706	78356
50	8882	78203
51	9054	78007
52	9225	77807
53	9400	77643
54	9575	77474
55	9748	77292
56	9922	77113
57	10096	76945
58	10277	76820
59	10453	76658
60	10636	76545
61	10808	76356
62	10981	76172
63	11158	76016
64	11331	75835
65	11504	75647
66	11679	75480
67	11857	75330
68	12029	75143
69	12202	74959
70	12382	74821
71	12556	74642
72	12731	74473
73	12906	74296
74	13084	74146
75	13258	73965
76	13437	73816
77	13609	73629
78	13781	73442
79	13960	73291
80	14133	73109
81	14308	72938
82	14484	72769
83	14656	72585
84	14830	72407
85	15002	72223
86	15176	72045
87	15351	71873
88	15529	71716
89	15698	71516
90	15872	71341
91	16044	71156
92	16219	70984
93	16398	70825
94	16571	70647
95	16742	70456
96	16920	70298
97	17091	70110
98	17266	69938
99	17436	69744
100	17607	69559
101	17775	69358
102	17946	69172
103	18120	68996
104	18297	68834
105	18473	68666
106	18645	68481
107	18817	68300
108	18988	68115
109	19157	67920
110	19331	67745
111	19503	67565
112	19677	67392
113	19849	67211
114	20024	67040
115	20193	66846
116	20365	66664
117	20543	66503
118	20715	66326
119	20892	66160
120	21069	65994
121	21238	65804
122	21446	65735
123	21616	65546
124	21787	65362
125	21960	65184
126	22130	64996
127	22306	64827
128	22512	64745
129	22681	64554
130	22856	64381
131	23030	64205
132	23205	64032
133	23378	63855
134	23553	63680
135	23726	63502
136	23899	63324
137	24072	63147
138	24244	62966
139	24416	62786
140	24590	62608
141	24765	62436
142	24933	62246
143	25104	62064
144	25280	61893
145	25453	61715
146	25626	61538
147	25800	61364
148	25971	61181
149	26150	61017
150	26327	60849
151	26505	60682
152	26677	60503
153	26853	60333
154	27032	60168
155	27208	59997
156	27382	59823
157	27555	59645
158	27728	59467
159	27904	59296
160	28078	59122
161	28253	58949
162	28429	58777
163	28599	58594
164	28775	58422
165	28949	58247
166	29122	58070
167	29301	57905
168	29474	57727
169	29645	57547
170	29818	57370
171	29990	57190
172	30169	57025
173	30346	56855
174	30518	56676
175	30691	56499
176	30866	56327
177	31040	56151
178	31214	55977
179	31388	55801
180	31559	55621
181	31730	55441
182	31905	55267
183	32084	55102
184	32261	54932
185	32436	54758
186	32611	54584
187	32785	54409
188	32957	54231
189	33124	54045
190	33300	53873
191	33476	53702
192	33651	53527
193	33824	53351
194	34000	53179
195	34171	53001
196	34346	52826
197	34515	52644
198	34687	52467
199	34866	52300
200	35039	52123
201	35214	51949
202	35389	51776
203	35561	51599
204	35735	51424
205	35905	51243
206	36078	51067
207	36255	50896
208	36425	50717
209	36604	50549
210	36777	50372
211	36952	50200
212	37124	50022
213	37297	49845
214	37469	49668
215	37649	49501
216	37825	49329
217	37996	49151
