iter	Accuracy	MultiClass
101	0.896625	0.6766317422
102	0.89875	0.6723032848
103	0.89925	0.6691399986
104	0.9015	0.6656560395
105	0.90175	0.661794203
106	0.9035	0.6567982332
107	0.90375	0.6537395969
108	0.904125	0.6503719066
109	0.906375	0.6468498351
110	0.907125	0.6436263858
111	0.907125	0.6410099024
112	0.907375	0.6368303935
113	0.907375	0.6323062341
114	0.90775	0.6290448849
115	0.908375	0.6261426003
116	0.908375	0.6229318404
117	0.908375	0.6200412821
118	0.908375	0.6175489385
119	0.908375	0.6138765469
120	0.908625	0.6096081381
121	0.908875	0.6064633464
122	0.91	0.6034269332
123	0.9115	0.600888732
124	0.911625	0.5975447473
125	0.91275	0.5931345008
126	0.913	0.5908491676
127	0.913	0.5873761266
128	0.914	0.5832738147
129	0.91425	0.579502824
130	0.91475	0.5764040841
131	0.915125	0.5734155329
132	0.915125	0.5711201403
133	0.9155	0.5674658665
134	0.91575	0.5649032781
135	0.9155	0.5606979408
136	0.91625	0.5580109851
137	0.918	0.5557767004
138	0.920375	0.5520375202
139	0.921625	0.5495813612
140	0.921875	0.5473335473
141	0.92275	0.5448436572
142	0.923375	0.5420603226
143	0.924875	0.5401963845
144	0.92475	0.5376606887
145	0.925125	0.5357498426
146	0.9255	0.5322933823
147	0.926375	0.5302632272
148	0.9265	0.5279963066
149	0.92725	0.5260748065
150	0.927875	0.5233018488
151	0.927875	0.5210751591
152	0.928375	0.5189382394
153	0.9295	0.5167112738
154	0.930125	0.5145454602
155	0.93	0.5116427652
156	0.93075	0.5088524072
157	0.930625	0.5068012458
158	0.932	0.5044889773
159	0.935375	0.5011066336
160	0.933875	0.4992089535
161	0.9365	0.497005972
162	0.937125	0.4950324449
163	0.937375	0.4931474282
164	0.938	0.491340778
165	0.94025	0.4894747228
166	0.953375	0.4860508905
167	0.9535	0.483745622
168	0.953625	0.4817811753
169	0.954	0.4797053465
170	0.954	0.47651712
171	0.95425	0.4743628363
172	0.9545	0.4723643774
173	0.954875	0.4703896805
174	0.954875	0.4689175742
175	0.955125	0.4672551627
176	0.955125	0.465706328
177	0.9555	0.463417
178	0.955625	0.4613660943
179	0.95725	0.4590207423
180	0.95725	0.4572957297
181	0.95725	0.455247211
182	0.9575	0.4537586598
183	0.957875	0.4520817576
184	0.957875	0.4503434493
185	0.958125	0.4484444874
186	0.957625	0.446865714
187	0.957875	0.4450971667
188	0.958	0.4431102661
189	0.958	0.4412858011
190	0.957875	0.4396010734
191	0.958	0.4381013486
192	0.95825	0.4364865733
193	0.958625	0.4345212096
194	0.958625	0.4329086409
195	0.95875	0.4301820937
196	0.959625	0.4283109084
197	0.9595	0.4255581137
198	0.959625	0.4240100658
199	0.96075	0.4220234676
200	0.96125	0.4194503046
201	0.96125	0.4171998813
202	0.96125	0.4157210139
203	0.961375	0.4136167221
204	0.962	0.4116927195
205	0.962	0.4099639155
206	0.96225	0.4082207537
207	0.961875	0.4066493098
208	0.962	0.4052563817
209	0.962	0.402956734
210	0.962	0.4015644864
211	0.962	0.3999738166
212	0.96225	0.3977321815
213	0.9625	0.3965217704
214	0.9625	0.3937193864
215	0.962875	0.3906075486
216	0.962375	0.388990185
217	0.96275	0.3877139225
218	0.96325	0.3864403838
219	0.963375	0.3850158298
220	0.963375	0.383600367
221	0.963375	0.3815335834
222	0.963625	0.379774437
223	0.963875	0.3781801643
224	0.963875	0.3761862079
225	0.964	0.3743437927
226	0.963875	0.3725826294
227	0.964125	0.3704958974
228	0.964375	0.3690102045
229	0.9645	0.367067557
230	0.9645	0.3660218447
231	0.964875	0.3640666023
232	0.965125	0.3614638369
233	0.96525	0.3600115714
234	0.96525	0.3580484155
235	0.96525	0.3570529546
236	0.965	0.3555186558
237	0.965375	0.3544619791
238	0.9655	0.3529384713
239	0.9655	0.3505213857
240	0.9655	0.3493713709
241	0.9665	0.3483724875
242	0.966625	0.3468004746
243	0.966625	0.3454143276
244	0.966625	0.3440049072
245	0.967	0.3423846473
246	0.967125	0.3396074991
247	0.967375	0.3375806075
248	0.96725	0.3362571282
249	0.967375	0.3350964781
250	0.9675	0.3328261554
251	0.9675	0.3318282968
252	0.967625	0.3308523755
253	0.967625	0.3283229082
254	0.96775	0.3271733538
255	0.968	0.3258863284
256	0.968375	0.324959161
257	0.96825	0.3234436888
258	0.9685	0.3223952637
259	0.968625	0.3207511455
260	0.96875	0.3197579996
261	0.968875	0.3187970469
262	0.968875	0.3170102585
263	0.96875	0.3157693707
264	0.968875	0.3136378447
265	0.968875	0.3122653759
266	0.968875	0.3112494212
267	0.968875	0.3104165491
268	0.969	0.3091441977
269	0.969125	0.3083575224
270	0.969125	0.3074521886
271	0.96875	0.3054854827
272	0.969125	0.3046365879
273	0.969125	0.3036500643
274	0.96925	0.3025318163
275	0.96925	0.3014108202
276	0.96925	0.3005364715
277	0.969375	0.2991496247
278	0.9695	0.2975126852
279	0.969625	0.2963389019
280	0.9695	0.2953963653
281	0.969625	0.2944298864
282	0.969875	0.2932604168
283	0.969875	0.2921515243
284	0.969875	0.2912410749
285	0.969875	0.2898151774
286	0.969875	0.2889888064
287	0.970125	0.2880531477
288	0.970125	0.2868488727
289	0.970375	0.2859593762
290	0.970125	0.2850290121
291	0.97025	0.2839986494
292	0.970375	0.2832854008
293	0.970625	0.282208723
294	0.970625	0.2812802703
295	0.970625	0.2792599131
296	0.97075	0.2784395596
297	0.970875	0.2775655141
298	0.97075	0.2763356936
299	0.970875	0.2754929916
300	0.970875	0.2742288445
301	0.970875	0.2726596602
302	0.97075	0.271829566
303	0.97075	0.2703653074
304	0.97075	0.269206125
305	0.97075	0.2685404289
306	0.97075	0.2678658323
307	0.970625	0.2668471307
308	0.97075	0.2659667629
309	0.970875	0.2655221014
310	0.970875	0.2648087304
311	0.971	0.263969593
312	0.97125	0.2631912413
313	0.971375	0.2625412753
314	0.971375	0.2618544793
315	0.971125	0.2610656408
316	0.9715	0.2606288424
317	0.9715	0.260122649
318	0.9715	0.259471796
319	0.971625	0.2586365583
320	0.97175	0.2580023438
321	0.97175	0.2574461069
322	0.971625	0.2561435299
323	0.9715	0.2550889352
324	0.9715	0.254077323
325	0.971625	0.2535768114
326	0.9715	0.2525423915
327	0.9715	0.2515289656
328	0.9715	0.2504996172
329	0.9715	0.2499331927
330	0.9715	0.2490514952
331	0.9715	0.2482083715
332	0.97175	0.247384021
333	0.97175	0.2465198221
334	0.971875	0.2454345358
335	0.971875	0.244774399
336	0.971875	0.2434982713
337	0.972125	0.2428251149
338	0.972125	0.2421764305
339	0.972125	0.2413252169
340	0.97225	0.2404873757
341	0.972375	0.23950442
342	0.972375	0.2388906293
343	0.972375	0.2382000591
344	0.9725	0.2376637363
345	0.9725	0.2371046272
346	0.9725	0.2361808313
347	0.9725	0.2355155101
348	0.973	0.2348266127
349	0.973	0.2341511555
350	0.973	0.2336592222
351	0.973	0.2327567322
352	0.973	0.2320605153
353	0.972875	0.231513693
354	0.973	0.2310291417
355	0.973	0.2304957887
